,Title,location,Posting_date,job_link,DESCRIPTION,BASIC QUALIFICATIONS,PREFERRED QUALIFICATIONS,TEAM
0,Applied Scientist II - AMZ3350,"US, CA, Sunnyvale","June 25, 2019",https://www.amazon.jobs/en-gb/jobs/885277/applied-scientist-ii-amz3350,"MULTIPLE POSITIONS AVAILABLEEntity: Amazon.com Services, Inc., an Amazon.com CompanyTitle: Applied Scientist IIWorksite: Sunnyvale, CAPosition Responsibilities:Participate in the design, development, evaluation, deployment and updating of data-driven models and analytical solutions for machine learning (ML) and/or natural language (NL) applications. Develop and/or apply statistical modeling techniques (e.g. Bayesian models and deep neural networks), optimization methods, and other ML techniques to different applications in business and engineering. Routinely build and deploy ML models on available data. Research and implement novel ML and statistical approaches to add value to the business. Mentor junior engineers and scientists.","Position Requirements:Ph.D. or foreign equivalent in Computer Science, Machine Learning, Statistics, or a related field and one year of research or work experience in the job offered, or as a Research Scientist, Research Assistant, Software Engineer, or a related occupation. Employer will accept a Master's degree or foreign equivalent in Computer Science, Machine Learning, Statistics, or a related field and three years of experience in the job offered or a related occupation as equivalent to the Ph.D. and one year of experience. Must have one year of research or work experience in the following skill(s): programming in Java, C++, Python, or equivalent programming language; and conducting the analysis and development of various supervised and unsupervised machine learning models for moderately complex projects in business, science, or engineering.",Applicants must meet all of the above listed requirements for this position.,Amazon Live
1,"Applied Scientist, Computer Vision","UK, London","June 24, 2019",https://www.amazon.jobs/en-gb/jobs/883986/applied-scientist-computer-vision,"Amazon Web Services (AWS) Professional Services team is looking for a Practice Manager in the AI Global Services Practice with a successful history of delivering best-in-class AI/ML solutions, managing world-class talent, and possessing the drive and experience to scale both to effectively meet the needs of our customers.The Practice Manager will build a working relationship with their sales, solution architects, and professional services counterparts. The Practice Manager will also have a team of 8-12 direct reports that are data scientists to develop a long-term AI (Artificial Intelligence) /ML (Machine Learning) strategy and execution plan within their geographic regions with other AWS Professional Services colleauges. This individual is a trusted adviser for our enterprise customers and requires the skills to excel at all aspects of business development, people management, relationship development, delivery of AI solutions and program management in their accounts, following a player/coach model.RESPONSIBILITIES• Hiring, developing and retaining top talent.• Engage with commercial enterprise customers to understand their business drivers and application portfolio.• Development of long term AI/ML strategy for our customers• Identification and development of specific AI opportunities and supporting business cases.• Mitigation of delivery risks and issues.• Overseeing delivery of AI projects, ensuring high quality delivery.• Act as single person of contact for Customer executives, developing deep, trustful relations.• Educate customers on AWS AI/ML services and translate those into a clear business value proposition.• Envision and inspire customers, on the potential of ML to help their business.• Coaching Customer and Partner teams to be self-sufficient","• A Bachelor or Masters Degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent experience• 7+ years of industry experience in predictive modeling, data science and analysis• Previous experience in a ML or data scientist role and a track record of building ML or DL models• Experience using Python and/or R• Knowledge of SparkML• Able to write production level code, which is well-written and explainable• Experience using ML libraries, such as scikit-learn, caret, mlr, mllib• Experience working with GPUs to develop models• Experience handling terabyte size datasets• Track record of diving into data to discover hidden patterns• Familiarity with using data visualization tools• Knowledge and experience of writing and tuning SQL• Experience giving data presentations• Extended travel to customer locations may be required to deliver professional services, as needed","• PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)Managing Customer relationships and key business stakeholders• AWS AI / ML services, platforms and frameworks• Broad Enterprise systems and data systems experience• 8+ years of industry experience in predictive modeling and analysis• Good skills with programming languages, such as Java or C/C++• Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations• Consulting experience and track record of helping customers with their AI needs• Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences• Experience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMR• Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customer’s organization• Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environmentPast and current experience writing and speaking about complex technical concepts to broad audiences in a simplified forma• Strong written and verbal communication skills, including group leadership and presentations• Demonstrated ability to work creatively and analytically in meeting customer needs• A proven track record of managing and delivering large-scale enterprise AI projects• Proven track record of hiring and developing the best, building teams and coaching them to success",Professional Services
2,"Senior Practice Manager, Data Science","US, NY, New York","June 24, 2019",https://www.amazon.jobs/en-gb/jobs/883715/senior-practice-manager-data-science,"Do you want to join an innovative team of scientists who use machine learning and statistical techniques to help Amazon provide the best customer experience by preventing eCommerce fraud? Do you want to build advanced algorithmic systems that help manage the trust and safety of millions of transactions every day? Are you excited by the prospect of analyzing and modeling terabytes of data and create state-of-art algorithms to solve real world problems? Do you like to own end-to-end business problems/metrics and directly impact the profitability of the company? Do you like to innovate and simplify? If yes, then you may be a great fit to join the Amazon Transaction Risk Management Systems group.Major responsibilities· Use statistical and machine learning techniques to create scalable risk management systems· Analyzing and understanding large amounts of Amazon’s historical business data for specific instances of risk or broader risk trends· Design, development and evaluation of highly innovative models for risk management· Working closely with software engineering teams to drive real-time model implementations and new feature creations· Working closely with operations staff to optimize risk management operations,· Establishing scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation· Tracking general business activity and providing clear, compelling management reporting on a regular basis· Research and implement novel machine learning and statistical approaches","· A MS in CS machine learning, Statistics, Operational research or in a highly quantitative field· 2+ years of hands-on experience in predictive modeling and large data analysis· Communication and data presentation skills· Problem solving abilityAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation","· A PhD in CS, machine learning, Statistics, Operational research· 3+ years of industry experience in predictive modeling and analysis· Strong problem solving ability· Good skills with SQL· Good skills with Spark/Python/Perl (or similar)",Transaction Risk Management Systems
3,Applied Scientist,"US, WA, Seattle","June 24, 2019",https://www.amazon.jobs/en-gb/jobs/883577/applied-scientist,"Alexa is the cloud-based intelligent agent that powers the Echo, the ground breaking Amazon device designed around your voice. The Alexa Speech Science team is looking for an Applied Science Manager to lead a team of machine learning scientists in the field of automatic speech recognition (ASR) and/or natural language understanding (NLU).The responsibilities include the strategic aspects of setting long term research directions as well as the tactical aspects of addressing customer pain points, setting priorities, and driving the design, development, and deployment of ASR and/or NLU technology. A successful candidate will have an established background in developing customer-facing experiences, a strong technical ability, excellent project management skills, and a motivation to achieve results in a fast paced environment. You will hire and develop your team, build customer-facing experiences, and manage your own projects.As a member of the technical team you will be responsible for...- Owning the strategic planning and project management for long term research projects creating value for our customers.- Analyzing customer data and addressing customer pain points.- Conducting and coordinating research leading to improved accuracy of Alexa's ASR and/or NLU capabilities.- Communicating effectively with senior management as well as with colleagues from research teams, software engineering teams, and other technical and business teams.- Managing the day-to-day activities of the research team.- Hiring and developing researchers.- Staying up-to-date with trends, papers, and academia.","· Graduate degree in engineering, computer science, or mathematics, and 10+ years of related experience OR a PhD and 5+ years of related work experience· Hands-on experiences in speech recognition, natural language understanding and machine learning.· Knowledge in multiple speech and natural language areas.· Research track record with peer-reviewed publications in academic conferences and journals in the related areas.","· PhD· Project management experience desired for working on cross-functional projects· Experience in building complex, real-time software systems involving speech recognition & natural language algorithms that have been successfully delivered to customers, preferably on mobile devices.· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations.· Ability to rapidly prototype and evaluate customer applications and interaction methodologies.· Excellent written and verbal technical communication. Able to explain complex solutions in easy-to-understand terms.Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.",Alexa AI
4,Applied Science Manager,"US, MA, Cambridge","June 21, 2019",https://www.amazon.jobs/en-gb/jobs/882352/applied-science-manager,"Have you ever ordered a product on Amazon and when that box with the smile arrives you wonder how it got to you so fast? Wondered where it came from and how much it would have cost Amazon? If so, Amazon’s Supply Chain Optimization Technologies (SCOT) team is for you. We build systems to peer into the future and estimate the distribution of tens of millions of products every week to Amazon’s warehouses in the most cost-effective way. When customers place orders, our systems use real time, large scale optimization techniques to optimally choose where to ship from and how to consolidate multiple orders so that customers get their shipments on time or faster with the lowest possible transportation costs. This team is focused on saving hundreds of millions of dollars using cutting edge science, machine learning, and scalable distributed software on the Cloud that automates and optimizes inventory and shipments to customers under the uncertainty of demand, pricing and supply.In Prediction Services we use cutting-edge machine learning and scalable distributed software in the Cloud to predict flows of products between our warehouses world-wide and distribute tens of millions of products every week in the most cost-effective way. Our forecasts are used to pro-actively shift capacity between nodes in Amazon's logistics network and ensure that our customers get their shipments on time with the lowest possible transportation costs. We do this for Amazon Retail and are scaling our systems to handle multiple Amazon business tenants with several businesses in our pipeline.We are looking for an experienced Principal Applied Scientist who relishes the opportunity to develop novel machine learning approaches and apply them at Amazon's scale. You will provide strategic leadership for other Applied Scientists and collaborate with Researchers across SCOT to understand the current challenges in our space and tackle supply chain optimization problems that no one else has solved yet. We expect you to deliver new capabilities to Amazon's WorldWide supply chain working with engineers and other Applied Scientists on the team to productionize, scale, and deploy your models worldwide.Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age","· Ph.D. in Machine Learning, Statistics, Applied Mathematics, Computer Science or a related field with publications in preferred academic journals· 10+ years of experience in solving complicated machine learning problems· Solid Machine Learning background and familiar with standard machine learning and statistical learning techniques.· Hands-on experience using Java, C++, or other programming language, as well as with R, Python or similar scripting language· Demonstrated ability to serve as a technical lead· Excellent writing skills for presenting business cases and to document the models and analysis and present the results/conclusions in order to influence important decisions","· Deep knowledge of probabilistic machine learning· Experience with deep learning toolkits and frameworks· Expert in more than one more major programming languages (C++, Java, or similar) and at least one scripting language (Perl, Python, or similar)· Solid software development experience· Algorithm and model development experience for large-scale applications· Strong fundamentals in problem solving, algorithm design and complexity analysis· Strong personal interest in learning, researching, and creating new technologies with high customer impact· Experience with defining research and development practices in an applied environment· Professional traits that are not unique to this position, but necessary for Amazon leaders: Exhibits excellent judgment; Has relentlessly high standards; Thinks strategically, but stays on top of tactical execution; Expects and requires innovation of her/his team; Thinks big and has convictions; Results oriented; Has the innate ability to inspire passion in others· Excellent communication skills, both written and oral with both technical and business people. Ability to speak at a level appropriate for the audience. Experience applying these skills in both academic teaching environment and a business setting is a plus",Supply Chain Optimization Technologies
5,Principal Applied Scientist - Machine Learning,"US, TX, Austin","June 21, 2019",https://www.amazon.jobs/en-gb/jobs/882293/principal-applied-scientist-machine-learning,"Are you passionate about automation and artificial intelligence through the use of Machine Learning and Computer Vision? We have a team that is making revolutionary leaps forward in this space and are in need of a Sr. Machine Learning Scientist. On this team you will analyze and model customer reading, text, images, and audio. Meeting business requirements will involve combining several different machine learning algorithms with domain knowledge into sophisticated ML workflows that automate what can be automated and efficiently utilize experts when needed to mitigate risk.As a Machine Learning Scientist at Amazon, you will connect with world leaders in your field working on similar problems. You will be working with large distributed systems of data and providing technical leadership to the product managers, teams, and organizations building machine learning solutions. You will be tackling Machine Learning challenges in Supervised and Unsupervised Learning; utilizing modern methods such as Deep Neural Networks and others. Senior MLS’s are specialists with the deep expertise to drive the ML vision for our products in areas such as machine learning, speech recognition, natural language processing, computer vision, and knowledge acquisition. They are externally aware of the state-of-the-art in their respective field of expertise and are constantly focused on advancing the state-of-the-art for improving Amazon’s products and services.Come join us as we revolutionize the book industry and deliver an amazing experience to our Kindle authors and readers.Kindle Direct Publishing has empowered a new wave of self-motivated creators, tearing down barriers that once blocked writers from reaching readers. Our team builds rich applications and systems that empower anyone to realize their dream of becoming a published author. We strive to provide an experience that is powerful, yet simple to use and accessible to all. We focus on building tools that enable authors to design high quality digital and print books, reaching readers all around the world. This role will help ensure we maintain the trust of both our Authors and Readers by ensuring all books published to Amazon meet our standards.Great candidates for this position will be an expert in the areas of data science, machine learning and statistics. You will have hands-on experience leading multiple simultaneous product development initiatives as well as be able to balance technical leadership with strong business judgment to make the right decisions about technology, models and methodologies choices. You will strive for simplicity, and demonstrate significant creativity and high judgment backed by statistical proof.Come join us as we continue to revolutionize the book industry!Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.","· MS in Data Science, Machine Learning, Statistics, Computer Science, Applied Math or equivalent highly technical field.· Strong interpersonal and communication skills. Must be able to explain technical concepts and analysis implications clearly to a wide audience, including senior executives, and be able to translate business objectives into action· 5+ years of hands-on experience working in data science and/or machine learning using models and methods such as neural networks, random forests, SVMs or Bayesian classification.· Proficient using R, Python, or other equivalent statistics and machine learning tools.· Experience working in the learning field, recommendations and/or personalization.· Proven ability to implement and operate at large scale.· Have a history of building systems that capture and utilize large data sets in order to quantify your products performance via metrics or KPIs.· Experienced in computer science fundamentals such as object-oriented design, data structures and algorithm design.","· PhD in Data Science, Machine Learning, Statistics, Computer Science, Applied Math or equivalent highly technical field.· Experience leading data science, artificial intelligence (AI), and/or machine learning teams.· Knowledge of building products and/or services or AWS.· Experience with information and application security.· Experience with large distributed systems.· A clear passion for learning emerging technology independently and continuously.",Author & Publisher Experience
6,Machine Learning Scientist,"US, WA, Seattle","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881649/machine-learning-scientist,"Are you passionate about encouraging reading in the mobile age ?The Kindle and Print Newsstand reading programs intend to provide the right content to each customer at the right time - varying from casual readers, avid readers to brand loyalists. The universe of selection is vast, from a variety of sources such as magazines, newspapers to paywall content.We are looking for a thought leader with hands on experience with deep software and machine learning skills to lead this effort.You will work with vast amounts of data. You will research and build machine learning algorithms, and deploy these ML applications into large scale production services. This role offers applied machine learning at its best: unsolved research problems based on rich Amazon datasets and the ability to serve and improve customer’s Reading experience.","· PhD or MS in Computer Science (Machine Learning, AI, Statistics, or equivalent);· 3+ years of practical experience applying ML to solve complex problems;· Algorithm and model development experience for large-scale applications;· Experience using Java, C++, or other programming language, as well as with R, MATLAB, Python or similar scripting language;· Experience distilling informal customer requirements into problem definitions, dealing with ambiguity and competing objectives","· PhD in Computer Science (Machine Learning, AI, Statistics, Mathematics, or equivalent);· 5+ years of practical experience applying ML to solve complex problems;· Extensive knowledge and practical experience in deep neural networks and other recommendation systems, including: convolutional neural networks (CNNs), recurrent neural networks (RNNs), residual neural networks and collaborative filtering techniques;· Significant peer reviewed scientific contributions in premier journals and conferences;· Expert in more than one more major programming languages (C++, Java, or similar) and at least one scripting language (Perl, Python, or similar);· Proven track record of production achievements, handling gigabyte and terabyte size datasets;· Strong fundamentals in problem solving, algorithm design and complexity analysis;· Strong personal interest in learning, researching, and creating new technologies with high customer impact;· Experience with defining research and development practices in an applied environment;· Proven track record in technically leading and mentoring scientists;· Superior verbal and written communication and presentation skills, ability to convey rigorous mathematical concepts and considerations to non-experts.",Infrastructure & Commerce
7,Senior Applied Scientist,"IN, TN, Chennai","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881623/senior-applied-scientist,"Amazon Selection and Catalog Systems is looking to hire an Applied Scientists who will push the boundaries to develop the best possible title for a product. Our vision is to innovate and automate product titles that adapts to different customer experiences such as website, mobile, echo devices, kindle and so on. Title of a product is the most important attribute that relates to a customer when shopping on Amazon and influences customer search experience and buying decisions significantly. It is used across hundreds of systems within Amazon.You will analyze how information on how Amazon’s product titles affect our customers and help devise short term and long term strategy for product titles.. You will have the opportunity to design new data analytical workflows at a scale rarely available elsewhere, utilizing state-of-the-art data science and machine learning tools such as Spark, Python, and Theano and Amazon’s cloud computing technologies such as Elastic Map Reduce (EMR), Kinesis, and Redshift. You will apply your knowledge in data science by creating algorithmic solutions that combine techniques such as clustering, pattern mining, predictive modeling, deep learning, statistical testing, information retrieval, and natural language processing and apply them to the voluminous data describing the products in the catalog and the customer interactions. You will evaluate with scientific rigor and provide inputs to business strategy and technical direction. You will collaborate with software engineering teams to integrate your algorithmic solutions into large-scale highly complex Amazon production systems.Our organization has a strong focus and great track record of growing our employees.You will encounter many challenges, including· scale (build models for billions of products in the catalog utilizing trillions of customer interactions),· accuracy (extreme requirements for precision or recall due to impact of getting it wrong,· speed (generate predictions for millions of new or changed products with low latency),· diversity (titles for the same product in different languages. Titles presented based on context in which the customer is viewing these titles),· high dimensionality· noise (build models robust to varying quality of data provided by millions of sellers and labels derived implicitly or collected from humans).You will need to be creative and go far beyond text book solutions to deal with these challenges. Meeting the business requirements will involve combining several different machine learning algorithms with domain knowledge into complex data analytical workflows that automate what can be automated and efficiently utilize experts when needed to mitigate risk.You will help us to· Define the strategy for title generation. How to gather the best possible information for the products and use them in the titles.· Continuously innovate and adapt to customer needs and never satisfied with status quo.· Lead/guide and influence other applied scientists in the Selection Contribution Platform team.· Identify which product information matters most to our customers.· Extract product information from unstructured data to augment the titles· Determine the apt title lengths based on experiences such as mobile, echo devices, PC and so on.· Determine the sequence of information represented in the title· Dynamic generation of titles for products not seen before.· Ability to do an automated quality analysis on titles to detect and prevent bad titles from flowing to the website.· Help automate manual audit process, by taking the learnings from audits and building them to the models.· Estimate the financial impact of title improvements.Your solutions will directly impact the customer experience by making products discoverable, presenting them in the right place, with complete and accurate product information to enable informed purchase decisions.","· MS or PhD in CS, Applied Math, Statistics, or a related field· Proficiency with a scripting language such as R, Matlab, Python· 8+ years of hands on experience working on applied machine learning projects.· An attitude to continuously innovate and never satisfied with status quo· Influence senior leadership teams on the value propositions and generate new product ideas.· Mentor and guide junior members in the team.· Work and collaborate effectively with tech teams, and launch to production.",· Proficiency with a production language such as C++ or Java· A strong track record of innovating through machine learning and statistical algorithms and their applications.· Strong demonstrated skills implementing and deploying large scale machine learning applications and tools.· Ability to innovate in ML and a track record of publications.· 8+ years of experience working on applied machine learning projects.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation,Amazon Selection and Catalogue Systems
8,Applied Scientist ,"US, WA, Seattle","June 19, 2019",https://www.amazon.jobs/en-gb/jobs/881143/applied-scientist,"Amazon Sponsored Ads is one of the fastest growing business domains and we are looking for talented scientists to join this team of incredible scientists to contribute to this growth. We are still in Day 1 and there is an abundance of opportunities that are yet to be explored. We are a team of highly motivated and collaborative team of machine learning scientists, with an entrepreneurial spirit and bias for action. We have a broad mandate to experiment and innovate, and we are growing at an unprecedented rate with a seemingly endless range of new opportunities.The Targeting and Recommendations team works across the entire spectrum of ad serving including CTR prediction, dynamic pricing, ranking, ad relevance, ad quality, query understanding, recommendation systems, and much more. Our technology enables thousands of brands, vendors, sellers and authors to drive discovery and sales of their products across millions of customers. This role specifically sits within the broader Sponsored Products Marketplace team within Ads with the primary focus on building automated targeting solutions for advertisers.We are looking for an Applied Scientist to build the next generation of services for advertisers. You will be expected to demonstrate strong ownership, and should be curious to learn and leverage textual, image, and query level data to help advertisers optimize their performance. This role specifically will focus on building recommenders for keywords, bids and budgets.This role will challenge you to utilize cutting edge machine learning techniques in the domain of query understanding, natural language processing (NLP), deep learning, and image recognition to deliver significant impact for the business. The ideal candidates will be able to work cross functionally across multiple stakeholders, synthesize the science needs of our advertisers, develop models to solve business needs, and implement their solutions in production. Hence, we would expect them to be independent, have a natural bias to action, strong communication skills, and be agile to make continuous incremental progress on a project without losing focus of the end goal.Primary responsibilities· Use machine learning and analytical techniques to create scalable solutions for business problems· Work closely with software engineering and product teams across the organization to drive real-time model implementations and new feature creations· Work closely with business stakeholders to identify opportunities of current model improvements and new models to significantly benefit the business bottom-line.· Collaborate with scientists within the Ads organization as well as other parts of Amazon business to share and imbibe learnings that benefit our models.· Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation· Research and implement novel machine learning and statistical approaches.","· A Masters Degree in Computer Science, Math, Statistics, Engineering, or related field.· 3+ years of Applied Science experience in related industry.· Proficient in at least one of the common programming languages, e.g., Python or Java.· Familiar with large scale data processing technology such as Hadoop and Spark.· Strong verbal and written communication skills.","· PhD degree in Computer Science, Math, Statistics, Engineering, or related field.· Experience with delivering large scale solutions with tight latency constraints from research to final product implementation.· Experience working with customer facing problems.· Previous experience with search engines, digital ads, and/or machine learning platform is a plus.· Experience with at least one big data technology such as AWS, Apache Hadoop, Apache Spark, Apache Pig, Apache Hive, Apache Lucene/SOLR or Apache Storm/Samza.· Strong technical skills and experience with the latest ML frameworks.· Experience in building and maintaining mission-critical services.  Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation#adsto#sspajobs #spmpjobs #sptargjobs",Performance Advertising
9,"Applied Scientist, SSPA","CA, ON, Toronto","June 18, 2019",https://www.amazon.jobs/en-gb/jobs/879827/applied-scientist-sspa,"Amazon Sponsored Ads is one of the fastest growing business domains and we are looking for talented scientists to join this team of incredible scientists to contribute to this growth. We are still in Day 1 and there is an abundance of opportunities that are yet to be explored. We are a team of highly motivated and collaborative team of machine learning scientists, with an entrepreneurial spirit and bias for action. We have a broad mandate to experiment and innovate, and we are growing at an unprecedented rate with a seemingly endless range of new opportunities.The Targeting and Recommendations team works across the entire spectrum of ad serving including response prediction, dynamic pricing, ranking, ad relevance, ad quality, query understanding, recommendation systems, and much more. Our technology enables thousands of brands, vendors, sellers and authors to drive discovery and sales of their products across millions of customers. This role specifically sits within the broader Sponsored Products Marketplace team within Ads with the primary focus on building recommenders for advertisers for targeting, bidding and budgets.We are looking for an Applied Science Manager to build and lead a team of engineers and scientists that will build the next generation of auto-targeting models. You will be expected to demonstrate strong ownership, and should be curious to learn and leverage textual, image, and query level data to help advertisers optimize their performance by leading a team of scientists and engineers.This role will challenge you to utilize cutting edge machine learning techniques in the domain of query understanding, natural language processing (NLP), deep learning, and image recognition to deliver significant impact for the business. The ideal candidates will be able to work cross functionally across multiple stakeholders, synthesize the science needs of our advertisers, develop models to solve business needs, and implement their solutions in production. Hence, we would expect them to be independent, have a natural bias to action, strong communication skills, and be agile to make continuous incremental progress on a project without losing focus of the end goal.Primary responsibilities· Use machine learning and analytical techniques to create scalable solutions for business problems· Hire and develop top talent in engineering and science· Mentor team to design and develop ML models in production that will enable advertisers to optimize their performance· Work closely with software engineering and product teams across the organization to drive real-time model implementations and new feature creations· Work closely with business stakeholders to identify opportunities of current model improvements and new models to significantly benefit the business bottom-line.· Collaborate with scientists within the Ads organization as well as other parts of Amazon business to share and imbibe learnings that benefit our models.· Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation· Research and implement novel machine learning and statistical approaches.","* A Masters Degree in Computer Science, Math, Statistics, Engineering, or related field.* 6+ years of machine learning experience in related industry.* 3+ years of people management experience* Proficient in at least one of the common programming languages, e.g., Python or Java.* Familiar with large scale data processing technology such as Hadoop and Spark.","* PhD degree in Computer Science, Math, Statistics, Engineering, or related field.* Experience with delivering large scale solutions with tight latency constraints from research to final product implementation.* Experience working with customer facing problems.* Previous experience with search engines, digital ads, and/or machine learning platform is a plus.* Experience with at least one big data technology such as AWS, Apache Hadoop, Apache Spark, Apache Pig, Apache Hive, Apache Lucene/SOLR or Apache Storm/Samza.* Strong technical skills and has hands-on experience with the latest ML frameworks.* Experience managing teams with both software engineers and applied scientists.* Experience in building and maintaining mission-critical services.* The ability to comfortably and confidently present to all levels within the enterprise and to work with both technical and non-technical individuals.* A proven track record for being detail-oriented with a demonstrated ability to self-motivate and follow-through on projects* Strong verbal and written communication skills.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation#sspajobs #spmpjobs #sptargjobs",Performance Advertising
