,Title,location,Posting_date,job_link,date,DESCRIPTION,BASIC QUALIFICATIONS,PREFERRED QUALIFICATIONS,TEAM
0,"Software Development Engineer, Amazon Alexa (Cloud Services)","US, CA, Sunnyvale","June 25, 2019",https://www.amazon.jobs/en-gb/jobs/885083/software-development-engineer-amazon-alexa-cloud-services,2019-06-25,"Want to teach Alexa new ways to help customers manage their tasks? Ask Alexa for your to-do list, or add an item to your shopping list; that’s us.Our team is responsible for building the always helpful, contextually aware assistant that helps customers manage their tasks. Our mission is to go beyond being a memory aid to become a trusted partner for getting stuff done. We also own the Alexa List API that third party developers use to integrate their productivity apps with Alexa.We are looking for a passionate engineer to join our team and drive the development of cloud that powers Alexa. You will have a great opportunity to make a large impact on the design and architecture of cutting edge products used every day, by people you know.The Role:· Work in an Agile/Scrum environment to deliver high quality software against aggressive schedules· Establish design principles, select design patterns and mentor junior team members· Help to define and push for the best possible end-user experience· Own the end to end delivery of multiple features in parallel· Design and develop high performance, test driven code to meet complex requirements and is massively scalable","· 2+ years of non-internship professional software development experience· Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design· 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.· Bachelor's Degree in Computer Science or related field· 3+ year experience building successful production software systems· Technical experience in Java and/or C++· Experience in object oriented design skills· Demonstrable leadership experience in driving large projects from concept to implementation","· Excellent understanding of design for scalability, performance and reliability for building Java-based cloud services using NoSQL, AWS· Development experience defining, developing and maintaining web service API's· Master's degree in Computer Science or related field· Demonstrated ability to mentor other software developers to maintain architectural vision and software quality.· Excellence in technical communications with both technical and non-technical peersLab126 is part of the Amazon.com, Inc. group of companies and is an Equal Opportunity-Affirmative Action Employer – Minority/Female/Disability/Veteran/Gender Identity/Sexual Orientation",Alexa Household Organisation
1,Sr. Software Development Engineer,"US, WA, Seattle","June 25, 2019",https://www.amazon.jobs/en-gb/jobs/884960/sr-software-development-engineer,2019-06-25,"AWS CloudFront is looking for experienced Software Development Engineer to join our team in Seattle, WA and be part of the next-generation strategic projects.AWS CloudFront is a global content delivery network (CDN) service for secure delivery of data, video and audio streams, applications, and APIs to customers with low latency, high transfer speeds, all within a developer-friendly environment. This is an opportunity to design, build and operate a better and secure Internet. An ideal candidate must have experience dealing with ambiguity and passion for building services at a massive scale used by millions of people. We offer comprehensive relocation and benefit packages.Responsibilities will include all aspects of the service experience: designing and building the software, managing its operations, and delivering on customer performance and scale expectations.If you like working at the forefront of high scale and cutting-edge distributed technologies, you will enjoy growing AWS CloudFront!Read more about the services our team delivers: https://aws.amazon.com/cloudfront/","· 4+ years of professional software development experience· 3+ years of programming experience with at least one modern language such as Java, C++, or C# including object-oriented design· 2+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems· Bachelor's Degree in Computer Science or closely related field","· Masters Degree in Computer Science or closely related field· Deep knowledge of Internet protocols such as HTTP, DNS, TCP, and UDP· Strong programming skills, preferably in C, C++ and/or Java· Proficiency with object-oriented design, data structures and algorithms· Ability to take a project from scoping requirements through actual launch of the project· Strong debugging, troubleshooting, and problem solving skills· Thorough understanding of web services technologies such as SOAP, HTTP, WSDL, XSD, and REST· Familiarity with the Linux development environment· Experience in TDD techniques & Continuous Integration· Work experience delivering one or more V1 products, ideally in a startup or similar setting· Experience building large-scale web services backed by cloud services, such as AWS· Experience in building and operating large scale and distributed systems· Strong verbal and written communication skills· Self-starter and motivatedAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.",Software Development Engineers
2,Front End Engineer,"US, WA, Seattle","June 25, 2019",https://www.amazon.jobs/en-gb/jobs/884827/front-end-engineer,2019-06-25,"Are you obsessed with building world class shopping experiences that delight customers? Do you want to reinvent the end-to-end shopping experience for fashion products, from front-end to supply chain and everything in between? If so, come join us as Front End Engineer to build an innovative consumer experience.We are looking for a passionate and innovative Front End Engineer who loves solving hard problems to be a part of a highly self-motivated team in building up our program and a delightful customer experience globally.Our technical challenges involve a combination of front-end software engineering, user interface development, and applied science. As a front-end engineer on the team:· You will build a customer facing product across the whole software development life cycle from ground-up in an entrepreneurial, start-up like environment· You will design and build distributed systems, building front end applications and backend services that can scale to millions of requests and deployed globally delivering an exceptional customer experience.· You will build software that scales effortlessly, has low latency, is robust and extensible.· You will work with cross-functional teams including UI/UX designers, machine learning scientists, product managers, and other software engineers.","·   · Bachelor’s Degree in Computer Science or related field  · Equivalent experience to a Bachelor's degree based on 1 years of work experience for every 1 year of education  · 3+ year of industry work experience as front end engineer.  · Experience with modern web technologies and techniques such as HTML5, CSS3, CSS frameworks and CSS pre-processors.  · Experience with jQuery, Node.js, JavaScript build tools, and modern JavaScript frameworks such as Angular JS.  · Experience with MVC frameworks, Ruby on Rails or Spring MVC, AJAX interfaces with AJAX libraries and frameworks.  · Experience with responsive and mobile design, as well as cross-browser development and testing.  · Experience programming defensively and writing unit/integration/functional and regression tests.  · A demonstrated mindset of continuous improvement, applied to oneself and others.","· Track record delivering front-end software that is correct, stable, performant, secure and accessibility compliant.· Able to solve difficult software and UX problems with some ambiguity.· Proficient in a broad range of software design approaches and common UX patterns. Knows when (and when not) to use front-end software design patterns (e.g., asynchronicity, data binding, modules, objects, promises).· Can articulate the risks and benefits of depending on front-end libraries, frameworks, and toolsets.· Able to dive into the source code of front end libraries to debug, patch, and extend them when necessary.· Proficient in view layout and rendering technologies (e.g., responsiveness, progressive enhancement, browser/device support).· Understands how to optimize the delivery of code and assets (e.g., images, fonts) to a browser or device (e.g., lazy loading assets, using CDNs, caching, compression, etc.).· Understands how to be efficient with resource usage (e.g., application impact on memory and CPU, caches appropriately, respectful of customer’s devices, etc.).· Knows how to instrument software with real user metrics to reflect the customer experience.· Knowledge of engineering and operational excellence best practices.· Experience with AWS web services.Amazon.com is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.",Amazon Fashion
3,SDET,"US, WA, Seattle","June 25, 2019",https://www.amazon.jobs/en-gb/jobs/884758/sdet,2019-06-25,"You love software, and you love to write software - but more than that, you love to delight customers with software that works properly and does so repeatably. You are passionate about engineering a test approach - and the tests themselves - such that contracts are met (or unmet), and the business can make assertions about the risk of deploying. You love to push the limits of software to figure out where it breaks, and have good instincts backed by years of experience about how to prioritize tests based on business and technical risks. You grow the engineers around you and are always helping to increase ownership of software quality in the team around you. You are a SDET as an engineering specialization rather than as place you've ended up.You’ve designed, and written lots of software shipped products and contributed to frameworks, platforms, tools and modules. Having worked with and led several test approaches, designs and scaling models you understand the challenges involved with building and testing big, distributed systems used by thousands of people every day - and relish them. You love to learn new things and to grow.Who are you? You’re the new Software Development Engineer in Test joining us at RDS. We work hard, have fun and make history.","Bachelor's Degree in Computer Science or related field and 6+ years relevant work experience· Automation experience (test, integration, build/release, etc.) in a distributed environment· Test and system optimization experience.· Deep familiarity with development, deployment and production support in cloud base solution.· Familiarity with various software technologies, methodologies and applied software engineering practices/standards such as OOD, Tomcat, Struts, REST, and Spring· Demonstrated ability to own, design, lead and implement test strategies for complex applications and deployment topologies· Demonstrated ability to independently take a project from idea to design to production deployment· Demonstrated ability to communicate with users, other technical teams, and management to collect requirements, describe software product features, and create / explain / defend technical designs","· Master’s degree or Ph.D. in Computer Science, Math, Statistics or related field with 6+ years of relevant work experience· Test engineering experience in software as an infrastructure solution.· Strong knowledge of data structures, algorithms, distributed systems, and asynchronous architecture· Strong understanding of system and application performance characteristics· Performance engineering/system optimization experience on Linux and Windows platforms· Familiarity with development, deployment and production support in Linux and Windows environments",Software Development Engineers
4,SDET,"US, WA, Seattle","June 25, 2019",https://www.amazon.jobs/en-gb/jobs/884757/sdet,2019-06-25,"You love software, and you love to write software - but more than that, you love to delight customers with software that works properly and does so repeatably. You are passionate about engineering a test approach - and the tests themselves - such that contracts are met (or unmet), and the business can make assertions about the risk of deploying. You love to push the limits of software to figure out where it breaks, and have good instincts backed by years of experience about how to prioritize tests based on business and technical risks. You grow the engineers around you and are always helping to increase ownership of software quality in the team around you. You are a SDET as an engineering specialization rather than as place you've ended up.You’ve designed, and written lots of software shipped products and contributed to frameworks, platforms, tools and modules. Having worked with and led several test approaches, designs and scaling models you understand the challenges involved with building and testing big, distributed systems used by thousands of people every day - and relish them. You love to learn new things and to grow.Who are you? You’re the new Software Development Engineer in Test joining us at RDS. We work hard, have fun and make history.","Bachelor's Degree in Computer Science or related field and 6+ years relevant work experience· Automation experience (test, integration, build/release, etc.) in a distributed environment· Test and system optimization experience.· Deep familiarity with development, deployment and production support in cloud base solution.· Familiarity with various software technologies, methodologies and applied software engineering practices/standards such as OOD, Tomcat, Struts, REST, and Spring· Demonstrated ability to own, design, lead and implement test strategies for complex applications and deployment topologies· Demonstrated ability to independently take a project from idea to design to production deployment· Demonstrated ability to communicate with users, other technical teams, and management to collect requirements, describe software product features, and create / explain / defend technical designs","· Master’s degree or Ph.D. in Computer Science, Math, Statistics or related field with 6+ years of relevant work experience· Test engineering experience in software as an infrastructure solution.· Strong knowledge of data structures, algorithms, distributed systems, and asynchronous architecture· Strong understanding of system and application performance characteristics· Performance engineering/system optimization experience on Linux and Windows platforms· Familiarity with development, deployment and production support in Linux and Windows environments",Software Development Engineers
5,Software Development Engineer,"US, WA, Seattle","June 25, 2019",https://www.amazon.jobs/en-gb/jobs/884714/software-development-engineer,2019-06-25,"  Amazon Sponsored Ads is one the fastest growing Amazon businesses. Our organization is building the world's most customer centric advertising platform to provide Amazon.com shoppers with useful, timely, and relevant product and brand recommendations. The Sponsored Brands team is focused on helping brands advertise on Amazon.com by understanding shopper intent and helping shoppers discover brands they'll love. Our team has it all: big data, machine learning, high scale / low latency systems, and high-visibility / high-impact business. Come help Amazon.com build the world's most customer centric advertising!  As a SDE in the team, you will be responsible the design, development and launch of some of the core product features.  The ideal candidate is someone that wants to have a huge impact building systems to help make shopping on Amazon.com even easier. A commitment to team work, hustle, and strong communication skills (to both business and technical partners) are absolute requirements. Creating reliable, scalable, and high performance products requires exceptional technical expertise, a sound understanding of the fundamentals of Computer Science, and practical experience building large-scale distributed systems. This person has thrived and succeeded in delivering high quality technology products/services in a hyper-growth environment where priorities shift fast.","· 4+ years of professional software development experience· 3+ years of programming experience with at least one modern language such as Java, C++, or C# including object-oriented design· 2+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems· 2+ years of non-internship professional software development experience· Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design· 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.","· Experience developing cloud software services and an understanding of design for scalability, performance and reliability.· Development experience defining, developing and maintaining web service API's.· Demonstrated ability to mentor other software developers to maintain architectural vision and software quality.· Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, technical designs, and product strategy.· Experience taking a leading role in building complex software systems that have been successfully delivered to customers.· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations.· Experience with distributed computing and enterprise-wide systems.· Experience mentoring junior software engineers to improve their skills, and make them more effective, product software engineers.· Experience influencing software engineers best practices within your team.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Performance Advertising
6,Prime Air Software Development Engineer,"US, WA, Seattle","June 25, 2019",https://www.amazon.jobs/en-gb/jobs/884633/prime-air-software-development-engineer,2019-06-25,"At Prime Air, we’re working on the future. If you are seeking an iterative fast-paced environment where you can drive innovation, apply state-of-the-art technologies to solve extreme-scale real world challenges, and provide visible benefit to end-users, then come work on the Amazon Prime Air team!If you’re an outstanding software development engineer who has superb technical skills, an ability to quickly research and learn new technologies, and enjoys working on the cutting edge, this job is for you. Come work on the Amazon Prime Air team!The ideal candidate will have experience using AWS to build server-less applications for workflow management and data processing. Experience with computer vision, machine learning, and aerospace systems is a plus.Export Control License: This position may require a deemed export control license for compliance with applicable laws and regulations. Placement is contingent on Amazon’s ability to apply for and obtain an export control license on your behalf","· Bachelor's degree in Computer Science, Computer Engineering, or related technical discipline· 5+ years relevant software engineering experience· Computer Science fundamentals and core areas like Problem Solving, Data Structures, Algorithms and Complexity Analysis· Experience building complex software systems that have been successfully delivered to customers at scale· Knowledge of software engineering practices and patterns for the full software/hardware/networks development life cycle","· Experience with AWS server-less technologies like Lambda, Aurora, DynamoDB, and Step Functions· Experience building workflow applications and automating manual tasks· Familiarity with machine learning and computer vision concepts· Interest/Experience in aerospace technologies· Experience, and a passion for, mentoring junior engineersAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Prime Air
7,Senior Technical Program Manager,"US, WA, Seattle","June 25, 2019",https://www.amazon.jobs/en-gb/jobs/884574/senior-technical-program-manager,2019-06-25,"The Alexa Identity team is seeking a Senior TPM to work with internal and external partner engineering teams to bring new personal Alexa experiences to life. If you enjoy solving complex problems and delivering technical solutions at scale in a fast-paced, entrepreneurial environment, come talk to us! Our vision is to enable a billion people to have a personal relationship with Alexa from any Alexa-supported device.In this role you will be responsible for scoping and delivering large projects across Alexa. Responsibilities include collection of business and systems requirements from internal and external customers, writing specifications, driving project schedules from design to release, and managing the production launch. You will be expected to make appropriate tradeoffs to optimize time-to-market, clearly communicate goals, roles, responsibilities, and desired outcomes to internal cross-functional and remote project teamsThe right candidate will possess a strong technical and program management background, will have demonstrated experience leading large projects, and will have a well-rounded technical background in current web technologies. You must be able to thrive and succeed in an entrepreneurial environment, and not be hindered by ambiguity or competing priorities. This means you are not only able to develop and drive high-level strategic initiatives, but can also roll up your sleeves, dig in and get the job done. As a Senior TPM, you will anticipate bottlenecks, provide escalation management, anticipate and make tradeoffs, and balance the business needs versus technical constraints. An ability to take large, complex projects and break them down into manageable pieces, develop functional specifications, then deliver them in a successful and timely manner is expected. Maturity, high judgment, negotiation skills, ability to influence, analytical talent and leadership are essential to success in this role.","• Bachelor's degree in Engineering, Computer Science or related technical field• 7+ years of relevant work experience in mobile-related program and/or technical product management in a software applications environment• 3+ years of experience leading software development projects• Experience with business applications such as Word, Excel and Project","• Experience managing efforts in Android development environments, distributed systems and/or developing large scale mobile applications• A first-hand working knowledge of current mobile technologies• Ability to communicate effectively with both technical and non-technical individuals including external partners• Excellent oral and written communication skills• Track record for being detail-oriented with a demonstrated ability to self-motivate and follow-through on projects• Experience developing and launching products that require collaboration between internal cross-functional tech teams and external partner teams.Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age",Alexa Engine
8,Sr. Software Development Engineer,"US, NY, New York","June 25, 2019",https://www.amazon.jobs/en-gb/jobs/884565/sr-software-development-engineer,2019-06-25,"Are you interested in building a new service for AWS customers? Want to make a multi-million-dollar impact to our customers’ bottom line and disrupt the status quo? We are a brand new team at AWS developing a new external facing service that will help customers track and analyze their data to solve some of their most critical business problems.We are looking for a Software Development Engineer (SDE) with experience building secure, scalable solutions that delight customers. As a foundational member of the team, you will be responsible for driving the team’s long-term vision and architecture, drive/shape roadmaps, and provide technical leadership to the engineering team.The ideal candidate will have extensive design and architecture experience, knowledge of AWS technologies and services, and a proven track record of building mission critical, highly scalable systems. In addition to strong technical knowledge, you will be someone who thrives in a fast paced start up-like environment, and passionate about solving ambiguous, challenging problems that have not been solved before.As a SDE on the team, you will:· Review projects' ability to deliver robust and scalable solutions toward this vision, learning and incorporating new technologies as appropriate.· Build relationships with Development Managers, Engineers and Technical Project Managers across various AWS service teams.· Participate in the architecture, development, testing, deployment, and delivery of large-scale global software applications, systems, platforms, services or technologies.· Participate in Agile project management methodologies to provide technical leadership and project management for all aspects of the software development lifecycle (SDLC).· Build, manage, and develop world-class engineers including hiring recommendations and guide and mentor engineers and project managers within and outside of the team.· Ensure high quality design reviews which meet business and architectural goals and drive critical feedback on architecture and design issues.· Participate in strategic planning to achieve technical and business goals with team, leadership chain, and with customers","· BS degree or higher in Computer Science, Engineering or related field.· 5+ years of professional experience with modern programming languages (eg. Java, JavaScript, C/C++) and open-source technologies (Linux, Spring)· 5+ years of professional experience designing and developing large-scale, distributed software applications, tools, systems and services using such as Java, C#, or C++, and Object-Oriented Design.· Experience developing software services and knowledge of design for scalability, performance and reliability.· Ability to synthesize requirements underlying feature requests, recommend alternative technical and business approaches, and facilitate engineering efforts to meet aggressive timelines.· Knowledge of professional software engineering practices & best practices for full software development life cycle, including coding standards, code reviews, source control management, continuous deployments, testing and operations· Demonstrated ability to mentor junior software engineers in all aspects of their engineering skill-set· 2+ years of building and operating scalable and secure systems on AWS","· Experience with distributed (multi-tiered) systems, algorithms, and relational databases· Experience in developing and delivering analytics products using open source big data technologiesAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation/ Age",Software Development Engineers
9,Sr. Software Development Engineer,"US, WA, Seattle","June 25, 2019",https://www.amazon.jobs/en-gb/jobs/884564/sr-software-development-engineer,2019-06-25,"Are you interested in building a new service for AWS customers? Want to make a multi-million-dollar impact to our customers’ bottom line and disrupt the status quo? We are a brand new team at AWS developing a new external facing service that will help customers track and analyze their data to solve some of their most critical business problems.We are looking for a Software Development Engineer (SDE) with experience building secure, scalable solutions that delight customers. As a foundational member of the team, you will be responsible for driving the team’s long-term vision and architecture, drive/shape roadmaps, and provide technical leadership to the engineering team.The ideal candidate will have extensive design and architecture experience, knowledge of AWS technologies and services, and a proven track record of building mission critical, highly scalable systems. In addition to strong technical knowledge, you will be someone who thrives in a fast paced start up-like environment, and passionate about solving ambiguous, challenging problems that have not been solved before.As a SDE on the team, you will:· Review projects' ability to deliver robust and scalable solutions toward this vision, learning and incorporating new technologies as appropriate.· Build relationships with Development Managers, Engineers and Technical Project Managers across various AWS service teams.· Participate in the architecture, development, testing, deployment, and delivery of large-scale global software applications, systems, platforms, services or technologies.· Participate in Agile project management methodologies to provide technical leadership and project management for all aspects of the software development lifecycle (SDLC).· Build, manage, and develop world-class engineers including hiring recommendations and guide and mentor engineers and project managers within and outside of the team.· Ensure high quality design reviews which meet business and architectural goals and drive critical feedback on architecture and design issues.· Participate in strategic planning to achieve technical and business goals with team, leadership chain, and with customers","· BS degree or higher in Computer Science, Engineering or related field.· 5+ years of professional experience with modern programming languages (eg. Java, JavaScript, C/C++) and open-source technologies (Linux, Spring)· 5+ years of professional experience designing and developing large-scale, distributed software applications, tools, systems and services using such as Java, C#, or C++, and Object-Oriented Design.· Experience developing software services and knowledge of design for scalability, performance and reliability.· Ability to synthesize requirements underlying feature requests, recommend alternative technical and business approaches, and facilitate engineering efforts to meet aggressive timelines.· Knowledge of professional software engineering practices & best practices for full software development life cycle, including coding standards, code reviews, source control management, continuous deployments, testing and operations· Demonstrated ability to mentor junior software engineers in all aspects of their engineering skill-set· 2+ years of building and operating scalable and secure systems on AWS","· Experience with distributed (multi-tiered) systems, algorithms, and relational databases· Experience in developing and delivering analytics products using open source big data technologiesAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation/ Age",Software Development Engineers
