,Title,location,Posting_date,job_link,DESCRIPTION,BASIC QUALIFICATIONS,PREFERRED QUALIFICATIONS,TEAM
0,Data Scientist II - AMZ3654,"US, WA, Seattle","June 26, 2019",https://www.amazon.jobs/en-gb/jobs/885692/data-scientist-ii-amz3654,"MULTIPLE POSITIONS AVAILABLECompany: Amazon.com Services, Inc.Position Title: Data Scientist IILocation: Seattle, WAPosition Responsibilities:Design and implement scalable and reliable approaches to support or automate decision making throughout the business. Apply a range of data science techniques and tools combined with subject matter expertise to solve difficult business problems and cases in which the solution approach is unclear. Acquire data by building the necessary SQL / ETL queries. Import processes through various company specific interfaces for accessing Oracle, RedShift, and Spark storage systems. Build relationships with stakeholders and counterparts. Analyze data for trends and input validity by inspecting univariate distributions, exploring bivariate relationships, constructing appropriate transformations, and tracking down the source and meaning of anomalies. Build models using statistical modeling, mathematical modeling, econometric modeling, network modeling, social network modeling, natural language processing, machine learning algorithms, genetic algorithms, and neural networks. Validate models against alternative approaches, expected and observed outcome, and other business defined key performance indicators. Implement models that comply with evaluations of the computational demands, accuracy, and reliability of the relevant ETL processes at various stages of production.Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation. #0000","Position Requirements:Master’s degree or foreign equivalent in Statistics, Applied Math, Operations Research, Economics, or a related field and two years of experience in the job offered or in a related occupation. Employer will accept a Bachelor’s degree or foreign equivalent in Statistics, Applied Math, Operations Research, Economics, or a related field and five years of experience in the job offered or a related field as equivalent to the Master’s degree and two years of experience. Must have two years of experience in the following skills: building statistical models and machine learning models using large datasets from multiple resources; working with Customer, Product, or Content data modeling and extraction; using database technologies including SQL, ETL, Oracle, or SPSS; applying specialized modelling software including SAS, R, Python, Matlab, or Stata; and working in a Linux environment.",Please see the job description and position requirements above.,Multichannel Advertising
1,Business Intelligence Manager,"US, NJ, Newark","June 26, 2019",https://www.amazon.jobs/en-gb/jobs/885447/business-intelligence-manager,"Hey – there’s a revolution going on! A revolution in digital entertainment. Every day millions of people around the world choose to be more thoughtfully entertained, informed and educated by listening to fascinating stories and all forms of fictional and non-fictional content on their smartphones and other mobile devices.Audible seeks a business intelligence analyst who will help our product, marketing, and content teams target customers and prospects as well as understand and personalize the content, format and context needed to optimize their book-listening experience.In this role, you will work with a variety of stakeholders as a thought partner and help guide their decision making using data as your north star. You will support various initiatives using structured analyses and data to help your counterparts form opinions and strategies to take the company forward.You will translate business goals into agile, insightful analytics and you will seek to create value for both stakeholders and customers and will convey findings in a clear, actionable way to managers and senior leaders.KEY RESPONSIBILITIES· Provide stakeholders with timely, relevant insights, scenarios and recommendations.· Work with senior management to analyze data and produce tangible insights to guide the Marketing roadmap.· Build analytical models to inform our marketing strategy in a fast moving environment.· Build dashboards that enable leaders to understand and act upon data to create and iterate on various marketing strategies.· Analyze A/B tests across Amazon and Audible surfaces.· Develop Amazon-scale data pipelines.· Imagine and invent before the business asks, and create groundbreaking applications using cutting-edge approaches.· Contribute to the growth of the Audible Insights Org by sharing your ideas, intellectual property and learning from others.","· Passion for data (and fearlessness in the face of a data tsunami) and insights test design.· Bachelor's degree in Business intelligence, Computer Science, Mathematics, Engineering or related field.· Fluency in English, both written and spoken.· 1+ years of working experience.· Strong experience with SQL, data warehousing ; experience using data visualization tools like Tableau or Microstrategy.· Knowledge of A/B testing, statistics and modeling.","· Domain knowledge of comparable products (digital, retail).· Knowledge of scripting languages such as Python (preferred) or R.· Understanding of and proficiency in data engineering concepts.· Experience in AWS environment would be a plus.· Customer- and business obsession, with a bias for action and a drive to create measurable value.· High attention to detail and a track record of managing multiple, competing priorities simultaneously under tight deadlines.Audible is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.",Audible
2,"Data Scientist II, IMDb TV","US, WA, Seattle","June 21, 2019",https://www.amazon.jobs/en-gb/jobs/882398/data-scientist-ii-imdb-tv,"The IMDb TV team is shaping the future of digital video entertainment. Our mission is to build earth’s most customer centric ad supported premium free video service and make it trivially easy for hundreds of millions of customers to enjoy.We are seeking a Data Scientist to design, evangelize, and implement solutions to address complex, business questions using advanced statistical techniques, experimentation, and big data. You will work with business and tech leaders to conduct statistical analyses, develop data pipelines, build ML models, build tools to drive continuous experimentation, and provide recommendations based on data analyses. We are looking for creative thinkers who can combine a strong analytical toolkit with a desire to continue innovating, and who is able to execute and deliver on big ideas.This is very much Day 1 for IMDb Freedive so you would be joining an entrepreneurial and pioneering team that is building from scratch.Competencies· Apply statistical and machine learning methods to solve business problems.· Use analytical insights to help increase teams’ effectiveness against key strategic goals.· Deal with ambiguity, conduct deep dive analyses on business problems, and formulate conclusions.· Acquire, understand, and analyze large and complex datasets.· Be familiar with AWS resources and know how and when to use them.· Work closely with the Data Engineers and SDEs to drive model/solution development, improve data quality, validate models, and run A/B tests.· Communicate with and influence customers and senior management.","· Master’s degree in math, economics, engineering, statistics, or related discipline is required.· 2+ years professional experience in machine learning, statistical modeling, data mining, and analytics techniques.· Experience with SQL and big data technologies.· Experience with Python/R or other machine learning software.· Familiarity with AWS (or similar cloud) solutions such as EMR, S3, and Redshift.· Demonstrated ability to manage and prioritize workload and roadmaps.· Familiarity with data visualization tools.· Solid customer-facing skills.","· Ph.D. in Statistics, Applied Mathematics or related field.· Programming / scripting experience (Java/Scala, Python, R, Ruby, C#, and/or PHP).· Experience collaborating with marketing teams is a plus.· Knowledge of cloud computing and AWS services is a plus.· Prior experience in the Video space.",IMDb TV
3,Data Scientist II - AMZ3356,"US, NJ, Newark","June 21, 2019",https://www.amazon.jobs/en-gb/jobs/882315/data-scientist-ii-amz3356,"Interested in building systems that allow Alexa to talk naturally about music and help users find their favorite song? The Amazon Music conversational AI team is looking for a Senior Language Engineer with experience in linguistic annotation, ontologies, taxonomies and/or semantic schemas, database queries (e.g. SQL), and scripting (e.g. Python). The ideal candidate is interested in being part of a nimble team, passionate about innovating for customers, and has a demonstrable track record of success in delivering new features and products. A commitment to team work, hustle, and strong communication skills (to both business and technical partners) are absolute requirements. The person has an attention to detail to deliver solutions that delight customers.Specifically, the Senior Language Engineer will:· Design and own the natural language processing components of new Alexa experiences and features by writing grammars and annotation specifications· Measure and analyze accuracy of our conversational system based on live customer data· Quantify and summarize errors by measuring the frequency of specific error pattern in utterances· Identify and resolve issues in statistical NLU model by processing it’s training data· Collaborate with scientists and other Language Engineers in developing coherent and comprehensive meaning representation frameworks· Lead annotation efforts to test and solidify new representations· Handle competing requests from a range of data customers· Use modeling tools to bootstrap new functionalitiesAmazon MusicImagine being a part of an agile team where your ideas have the potential to reach millions. Picture working on cutting-edge consumer-facing products, where every single team member is a critical voice in the decision-making process. Envision being able to leverage the resources of a Fortune-500 company within the atmosphere of a start-up. Welcome to Amazon Music, where ideas are born and come to life as Amazon Music Unlimited, Prime Music, and so much more.Everyone on our team has a meaningful impact on product features, new directions in music streaming, and customer engagement. We are looking for new team members across a variety of job functions including software engineering/development, marketing, design, ops and more. Come join us as we make history by launching exciting new projects in the coming year.Our team is focused on building a personalized, curated, and seamless music experience. We want to help our customers discover up-and-coming artists, while also having access to their favorite established musicians. We build systems that are distributed on a large scale, spanning our music apps, web player, and voice-forward audio engagement on mobile and Amazon Echo devices, powered by Alexa to support our customer base. Amazon Music offerings are available in countries around the world, and our applications support our mission of delivering music to customers in new and exciting ways that enhance their day-to-day lives.Come innovate with the Amazon Music conversational AI team!","· Bachelor’s degree in a relevant field· 5+ years experience in computational linguistics, language data processing, semantics, philosophy of language· Experience with language annotation and other forms of data markup· Experience with ontologies and other semantic meaning representation schemas· Experience in Perl, Python, or another scripting language","· Deep expertise in building ontologies, taxonomies, and semantic meaning representation frameworks· Comfortable working with speech and text language data in multiple languages· Experience in writing grammars and building FST· Experience with statistical language modeling· Practical knowledge of version control and agile development· Familiarity with database queries and data analysis processes (SQL, R, Matlab, etc.)· Excellent communication, strong organizational skills and very detailed oriented· Comfortable working in a fast paced, highly collaborative, dynamic work environment· Willingness to support several projects at one time, and to accept reprioritization as necessary· Able to think creatively and possess strong analytical and problem solving skills· Strong attention to detail· Exceptional level of organization· Fluency in a foreign language a plusAmazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records#MusicJobs",Amazon Music
4,Data Scientist ,"US, WA, Bellevue","June 21, 2019",https://www.amazon.jobs/en-gb/jobs/882260/data-scientist,"Amazon.com seeks an exceptional Data Scientist to join our Sponsored Products Marketplace Finance team. The role will be a key partner to Amazon’s Sponsored Products Marketplace business, a high-growth business with a range of products offerings for advertisers and using “pay-per-click” business model. We love data and we have lots of it. We’re looking for a top analytical mind capable of understanding our complex ecosystem of advertisers participating in a pay-per-click model as well as the relationship this business has with Amazon’s core eCommerce business – and leveraging this knowledge to help turn the flywheel of the business.As a key analytics partner, you will have the opportunity to work on one of the world's largest consumer and advertising data sets, as well as influence the long-term evolution of our products and the way they fit in Amazon's ecosystem to develop insights into different aspects of our business (monetization, shopper experience, advertiser experience, marketplace dynamics).This role requires an individual with excellent business, communication, and technical skills, enabling collaboration with various functions, including economists and other finance leaders, product managers, software engineers, data scientists as well as senior leadership.The successful candidate will be a self-starter comfortable with ambiguity, with strong attention to detail, an ability to work in a fast-paced, high-energy and ever-changing environment. The drive and capability to shape the business group strategy is a must.This role will influence the direction of the business by leveraging our data to deliver insights that drive decisions and actions. The role will involve translating broad business problems into specific analytics projects, conducting deep quantitative analyses, and communicating results effectively. We see a high potential for influence and growth in this role as we transform our data into actionable insights to continue to fuel the growth of this business. The role will help the organization identify, evaluate, and evangelize new techniques and tools to continue to improve our ability to deliver value to Amazon’s customers.","· BS with 5 years of relevant experience or MS with 3 years of relevant experience. BS/MS degrees in a quantitative field such as Computer Science, Operations Research, Applied Mathematics, Applied Economics etc.· Relevant hands-on experience in data mining and/or quantitative analysis – both descriptive and inferential/predictive analysis.· Fluent knowledge of relational databases (SQL).· Fluent in at least one scripting language such as Python or Scala; command line usage· Experience working with very large, disparate data sets and big data tools such as Spark.· Experience with parsing logs, in scenarios where production datasets are not ready is a huge plus.· Hands-on machine learning experience· Ability to distill problems and constraints from informal business requirements and to be comfortable dealing with ambiguity and competing objectives· Proven capability to identify opportunities to combine disparate data sources to uncover new business insight· Ability to distill problems and constraints from informal business requirements and to craft an analytic approach to solving the issue· Ability to distill and communicate complex analysis and insights in oral presentation and written form. A natural curiosity and desire to learn",· Experience with AWS tools· Experience with online advertising#AdFinAmazon is an Equal Opportunity-Affirmative Action Employer - Female/Minority/Disability/Veteran/Gender Identity/Sexual Orientation,Self-Service Performance Advertising
5,Sr Language Engineer - Amazon Music ,"US, CA, San Francisco","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881795/sr-language-engineer-amazon-music,"Amazon Simple Storage Service (S3) is storage for the Internet. Through the use of pioneering techniques in distributed computing, developers are able to durably store their data on Amazon’s proven computing infrastructure to achieve virtually limitless storage capacity at minimal cost. Amazon S3 provides a simple interface that can be used to store and retrieve any amount of data, at any time, from anywhere on the web. It gives any developer access to the same highly scalable, reliable, secure, fast, inexpensive infrastructure that Amazon uses to run its own global network of web sites.Managing and running a storage service at this scale requires a telemetry system that is constantly gather data from multiple sources, making sense of that data and allowing engineering and business to make proactive decisions that allow S3 to continue to delight its customers. This position is perfect for a data engineer who loves dealing with copious amounts of data, thrives in an environment with complex and ambiguous problems, and someone who can work within a software engineering team to solve these problems.","· Bachelor's degree in statistics, engineering or other quantitative field· 7+ years Industry experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track record of manipulating, processing, and extracting value from large datasets· Inquisitive mindset, with proven problem solving ability, and a passion for big data· Experience in relevant business domains, including data warehousing, data modeling, ETL development (understanding of relational databases, data modeling, data structures and architecture), and business intelligence tools, techniques and technology· Advanced SQL knowledge and database in a business environment with large scale complex data sets.· Data Warehousing Experience with Oracle, Redshift, Teradata, etc.· Proven analytical and quantitative skills (including ability to effectively use business tools such as Excel/Access, Tableau, SQL, etc.) and an ability to use data and metrics to back up assumptions, develop business cases, and complete root cause analyses· Experience in gathering requirements, formulating business metrics and building comprehensive business key performance and financial metrics· Ability to meet tight deadlines and manage multiple competing priorities; ability to work independently and navigate through ambiguous requirements· Strong verbal and written communication and data presentation skills, including an ability to effectively communicate with creative, business and technical teams· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations","· Worked on highly concurrent, high throughput systems with knowledge of distributed systems· Demonstrated ability to achieve stretch goals in a highly innovative and fast paced environment· Experience with mission critical, 24x7 systems· Experience using Tableau (preferred), Domo or any another Data Visualization tool· Experience with AWS technologies like S3, EC2, QuicksightAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation","Systems, Quality and Security Engineering"
6,Data Scientist - Sponsored Products Marketplace,"US, WA, Seattle","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881714/data-scientist-sponsored-products-marketplace,"The WW Operations Finance Analytics team is responsible for providing description, predictive and prescriptive analytics to boost financial reporting and forecasting. We are part of the fastest growing supply chain in the world and are building a finance analytics engine to suit. This is an exciting place to work, and provides a significant opportunity to influence senior leaders through science backed data.As a Data Scientist, your work is focused on driving analytics and developing algorithms that provide insights into long term costing and revenue trends impacting our business. You will leverage your deep expertise in analytics - from theory-driven classic statistics to data-driven supervised and unsupervised ML models - to identify historical drivers of performance and develop advanced statistical growth forecasting models. You will partner with colleagues across Data Science, Finance, Economics, Software Dev, Business Intelligence and related teams to enable Operations engage ML to accurately forecast costs with a high confidence interval.You will use all of this information to take an active role in the design, deployment, and continued analysis of our newly designed integrated financial forecasting and reporting system. This role is highly visible in WW finance organization and you will also need to be comfortable communicating with technical and non-technical stakeholders.If you are passionate and curious about data, obsess over customers, love questioning the status quo, and want to be a primary player in transforming corporate finance, this is the perfect place for you.","- Master's degree in a discipline with predominantly quantitative aspects, e.g. data science, statistics, or a quantitative research degree.- Knowledge of a variety of quantitative modeling techniques, e.g., logistic regression, decision trees, SVMs, neural networks, graph theory- Proficiency in command line tools.- 3+ years experience in R or Python.-SQL experience 3+ years; experience with Redshift preferred.-Experience with algorithm development- Demonstrated experience working with new technology while working closely with research scientists, software developers, and technical professionals from product conception to implementation.- Ability to influence teams of business managers, research scientists, software developers, and product managers to innovate and to deliver against aggressive targets.","- Master's degree with 2+ years post-degree experience- Experience with time series models- Capable of data processing and transference outside of ETL tools or databases (custom scripts to pull and load from APIs or Files).- Strong track record in converting data analysis into tangible and significant real-world changes.- Experienced working in a fast-paced, high-tech environment and comfortable navigating conflicting priorities and ambiguous problems.- Strong experience visualizing complex analyses.Amazon.com is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.",Operations Finance
7,"Data Scientist, Private Brands","LU, Luxembourg","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881405/data-scientist-private-brands,"The Amazon Devices team designs and engineers high-profile consumer electronics, including the best-selling Kindle family of products. We have also produced groundbreaking devices like Fire tablets, Fire TV, Amazon Dash, and Amazon Echo.What will you help us create?The Team: How often have you had an opportunity to be a founding member of a team that is solving a significant problem through innovative technology? Would you like to know more about how we are envisioning the use of machine learning, AI and linear programming to solve these problems? If this sounds intriguing, then we’d like to talk to you about a role on a new Amazon team that's tackling a set of problems requiring significant innovation and scaling.As a data scientist, you will design, evangelize, and implement state-of-the-art solutions for never-before-solved problems, helping Amazon Device to provide customer great products. This role will be a key member of a Science and Data technology team based in Seattle, WA. You will work closely with other research scientists, machine learning experts, engineers to design and run experiments, research new algorithms, and find new ways to improve Amazon Device Services & Software products. You will partner with technology and product leaders to solve business and technology problems using scientific approaches to build new services that surprise and delight our customers. Our scientists work closely with software engineers to put algorithms into practice. They also work on cross-disciplinary efforts with other scientists within Amazon.The key responsibility for this role include:· Define proper output business Metrics, and build input models to identify patterns and drivers of the output. Drive actions at scale using scientifically-based methods and decision making.· Design and develop complex mathematical, statistical, simulation and optimization models and apply them to define strategic and tactical needs and drive the appropriate business and technical solutions· Design experiments, test hypotheses, and build actionable models· Prototype these models by using modeling languages such as R or in software languages such as Python.· Work with software engineering teams to drive scalable, real-time implementations· Utilizing Amazon systems and tools to effectively work with terabytes of data","· Master's degree in Statistics, Applied Math, Operations Research, Economics, or equivalent quantitative field· 6+ years of experience working in data science· Experience in several of the following areas: machine learning, statistics, A/B testing, casual models, forecasting models, etc.· Experience with R, Python or other statistical/machine learning software.","· PhD in a quantitative field (Computer Science, Mathematics, Machine Learning, AI, Statistics, or equivalent)· 10+ years of experience working in data science· Skilled with Java, C++, or other programming language, as well as with R, SAS, MATLAB, Python or similar scripting language· Ability to distill informal customer requirements into problem definitions, dealing with ambiguity and competing objective· Ability to manage and quantify improvement in customer experience or value for the business resulting from research outcomes· Superior verbal and written communication skills, ability to convey rigorous mathematical concepts and considerations to non-experts· Thrive in a fast-paced, innovative environment· Ability to distill informal customer requirements into problem definitions, dealing with ambiguity and competing objectivesAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age",Device Software
8,Data Engineer II - AMZ3321,"US, CA, Palo Alto","June 20, 2019",https://www.amazon.jobs/en-gb/jobs/881397/data-engineer-ii-amz3321,"Amazon Web Services (AWS) provides a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers hundreds of thousands of businesses in 190 countries around the world.We are hiring a Senior Data Scientist for our Solutions Architecture Innovation Lab. The AWS Solutions Architecture function facilitates customer awareness and adoption of AWS services in support of their business objectives. Within the Innovation Lab, we explore new ideas to serve our customers better at scale, and we run experiments to validate their viability.As a Senior Data Scientist, you will be responsible for designing and executing data science experiments in short and agile cycles. You will use some of the latest AWS technologies in Machine Learning, Data Science, and Business Intelligence. You will be part of a community of builders and data scientists in our Solutions Architecture organization and will also be responsible for sharing your experience within that community.The ideal candidate will be curious and able to learn new technologies quickly. You will have hands-on data science experience working with large scale data sets. You are passionate about sharing your knowledge to enable others. You empathize with the needs of our customers and align your work accordingly.This position is based in the vibrant city of Luxembourg.","· Bachelor’s degree in Computer Science, Mathematics, Economics, Physics, or other quantitative field· Experience with a relevant programming language (Python, R, Scala, etc.) and SQL· Track record in gaining insights from large datasets· Ability to adapt to new technologies and learn quickly· Good written and verbal communication skills· Fluency in English",· PhD preferred· Experience with Machine Learning and advanced data analytics on AWS· Experience in building end to end data science pipelines,Solutions Architects
9,Data Science Manager,"US, WA, Seattle","June 19, 2019",https://www.amazon.jobs/en-gb/jobs/880560/data-science-manager,"Amazon is investing heavily in building a world class advertising business and we are responsible for defining and delivering a collection of self-service performance advertising products that drive discovery and sales. Our products are strategically important to our Retail and Marketplace businesses driving long term growth. We deliver billions of ad impressions and millions of clicks daily and are breaking fresh ground to create world-class products. With a broad mandate to experiment and innovate, we are growing at an unprecedented rate with a seemingly endless range of new opportunities.The Sponsored Products Allocation and Pricing team is responsible for core problems within our ad server: which ads to show on the Amazon site, where to place them, and how to price them. This process relies on supervised learning (predicting clicks, conversions, relevance), reinforcement learning (picking optimal ranking functions), causal modeling (long term shopper and retail impact of ads), advanced optimization techniques (constrained optimization with local and global constraints) and game theory (pricing ads). You'll have an opportunity to invent new approaches and publish novel scientific findings, while delivering Amazon-wide business impact.As an Applied Science Manager, you will grow a Toronto-based team of scientists and engineers to build a measurement and simulation platform. This is a critical element in our experimentation and optimization strategy. You'll design and build ad auction simulators to be used to evaluate thousands of counterfactual policies. You'll build off-policy estimators for aggregate ad response and ad quality. You'll design and implement of novel experimental frameworks to minimize network effects.Responsibilities:· Own technical vision and direction for all problems related to measurement and simulation of modeling, ranking, budgeting and pricing policies.· Build and grow a team of scientists and engineers.· Collaborate on product direction for the largest segment of Amazon's advertising business.","· Master's degree in Mathematics, Statistics, Computer Science or a related technical discipline· 5+ years of hands on machine learning or optimization experience· 2+ years experience managing and growing teams of scientists and engineers","· PhD in Mathematics, Statistics, Computer Science or a related technical discipline· 8+ years of hands on machine learning or optimization experience· 5+ years experience managing and growing teams of scientists and engineers· Strong publication record with contributions in both academia and industry· Excellent verbal and written communication skills, including ability to convey rigorous mathematical concepts and considerations to mathematically-trained engineers as well as to business leaders at the appropriate level of detail· Ability to deal with ambiguity and competing objectivesAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.#adssde #sspajobs #adsto",Performance Advertising
